id,created_at,category_id,updated_at,name
e5612263-e928-4736-951b-76b717340fbc,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Achocolatado em Pó
3e81fc5f-859f-46b1-83e6-3d6d5161017f,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Carne Bovina
1d880b35-b67b-4950-b701-c7d9199cd3a7,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Carne Suína
724ecaf3-94d4-4b0c-9904-5ea5eb798948,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Frango
f10782e7-9c5f-4401-9e49-ff8439dc3eaa,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Hambúrguer
29b19349-1f39-415c-9a0a-8511e5aa7e0b,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Linguiça
179ae5df-d8fe-4a6b-b38a-cff70b57c2c6,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Ovos
48701f07-b5c6-4ad6-a2b6-f95b5208ca09,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Ovos de codorna
f2ed48ca-fdb2-4201-8faa-a8560bf072f3,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Peixe
e09a91d7-b58f-42b8-8b95-b513569a0807,2025-12-30T19:31:11.92719+00:00,e4d34e79-ec5b-4142-90f6-bdd0455aeef6,2025-12-30T19:31:11.92719+00:00,Salsicha
2758df83-c2cd-45aa-91e5-073614cec189,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Cachaça
eac65cb3-9b6e-4fa5-b131-7ee801b2f6ec,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Cerveja
da3fb939-f48d-4334-b177-cfd98e903d12,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Champagne
97e61ecd-190d-4af7-b0b7-6fa28dd7d7eb,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Conhaque
90f81ea1-8a47-4c5c-bcbf-dc983f865f75,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Espumante
be72756b-a4d2-40e2-8a60-d53c87e4f568,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Gin
defd6d1b-e05f-4f6a-ac75-5396baa58ebe,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Licor
a4bf07f6-9b4d-40fc-ae8b-923f86d0553f,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Rum
9e8bcc94-a026-40bb-a3d8-c43ad8891dcd,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Sake
3e0dc720-f0cf-4b85-bdf4-cd045561f59b,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Tequila
aed04835-0916-4e80-816b-a33a2b8ff85d,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Vinho
6d8c5c40-c408-408f-a863-d26474b088cf,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Vodka
ac62e0e1-4a57-4d9f-ab30-95aeb1f8d612,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Whisky
6da7a63c-40eb-4ef9-acf0-951e62eba2a7,2025-12-30T19:31:11.92719+00:00,8bd9124b-132a-4d2b-a98c-bfb582669496,2025-12-30T19:31:11.92719+00:00,Água Mineral
b7df6f9c-37af-4d58-9f94-f1038fc1fdd6,2025-12-30T19:31:11.92719+00:00,18b94bfc-c85a-4642-bbda-968de217246a,2025-12-30T19:31:11.92719+00:00,Biscoito Água e Sal
155490d2-aa55-44ed-b0ce-878dd7b5d01b,2025-12-30T19:31:11.92719+00:00,18b94bfc-c85a-4642-bbda-968de217246a,2025-12-30T19:31:11.92719+00:00,Biscoito Cream Cracker
f600b89f-fac6-41a6-a0ad-54b4fc781a93,2025-12-30T19:31:11.92719+00:00,18b94bfc-c85a-4642-bbda-968de217246a,2025-12-30T19:31:11.92719+00:00,Biscoito de Chocolate
183ce64b-4e0b-4911-a565-7eafcba3ad29,2025-12-30T19:31:11.92719+00:00,18b94bfc-c85a-4642-bbda-968de217246a,2025-12-30T19:31:11.92719+00:00,Biscoito de Leite
